Equation,Iteration,Euler Error,Euler Improved Error,RK4 Error,,,,,,Euler Time,Euler Improved Time,RK4 Time,,,,Euler Time,Euler Improved Time,RK4 Time
Equation 2,21,32.00451648,2.460566943,0.004893755,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,22,33.08817485,2.563565684,0.005101519,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,23,34.16474974,2.667389431,0.00531116,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,24,35.23335187,2.771963569,0.005522534,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,25,36.29313095,2.877214271,0.005735496,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,26,37.34329106,2.983069826,0.005949905,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,27,38.38310056,3.089461579,0.006165626,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,28,39.41189798,3.196324581,0.006382532,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,29,40.4290946,3.303598,0.006600502,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,30,41.43417468,3.411225348,0.006819426,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,31,42.42669393,3.519154559,0.007039201,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,32,43.40627658,3.627337965,0.007259732,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,33,44.37261169,3.735732174,0.007480933,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,34,45.32544873,3.8442979,0.007702727,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,35,46.26459296,3.952999748,0.007925044,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,36,47.1899006,4.061805964,0.008147819,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,37,48.101274,4.170688182,0.008370998,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,38,48.99865697,4.279621153,0.008594529,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,39,49.88203027,4.388582483,0.008818368,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,40,50.75140741,4.497552376,0.009042476,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,41,51.60683062,4.606513384,0.009266817,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,42,52.44836725,4.715450173,0.00949136,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,43,53.27610642,4.824349304,0.009716079,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,44,54.09015594,4.933199031,0.00994095,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,45,54.89063961,5.04198911,0.010165953,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,46,55.67769476,5.150710631,0.010391068,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,47,56.45147002,5.259355859,0.010616282,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,48,57.21212342,5.367918099,0.010841579,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,49,57.95982068,5.476391564,0.011066948,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,50,58.69473367,5.584771267,0.011292379,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,51,59.41703909,5.693052916,0.011517863,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,52,60.12691739,5.801232829,0.011743392,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,53,60.82455169,5.909307855,0.01196896,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,54,61.51012697,6.017275298,0.012194561,,,,,,,,,,,,0.41414,0.9582334,2.02515
